title,url,isbn
烦人的爱（那不勒斯四部曲作者埃莱娜·费兰特长篇小说，消失的母亲、女儿的原罪、家庭内部至深的矛盾，惊心动魄的痛苦和谎言） 埃莱娜?费兰特匿名写作生涯的起点 那不勒斯四部曲的情感原型，一部浸满泪水的小说 揭露对母亲复杂的嫉妒和渴望 。“我想知道母亲为什么决定死在那个地方，但我永远也不会知道答案。”,https://product.dangdang.com/29476860.html,9787020174782
【中国古脊椎动物志 第三卷 基干下孔类哺乳类 第5册上(总第18册上)啮型类Ⅱ啮齿目Ⅰ 】 【多册任选】中国古脊椎动物志 支持发票 如需请联系在线客服,https://product.dangdang.com/11932604371.html,9787030429513
中国古脊椎动物志 第二卷 两栖类 爬行类 鸟类 第五册（总第九册） 鸟臀类恐龙,https://product.dangdang.com/23760162.html,9787030447760
中国古脊椎动物志 第三卷 基干下孔类 哺乳类 第十册（总第二十三册） 蹄兔目 长鼻目等 陈冠芳等,https://product.dangdang.com/29292249.html,9787030691736
论出版自由(汉译名著本) 英国思想家约翰·弥尔顿创作的政治学著作，是许多精心撰述的政论中重要的一篇。,https://product.dangdang.com/29329016.html,9787100006392
偶然、反讽与团结,https://product.dangdang.com/29593613.html,9787100037044
行为的结构(汉译名著本11) 法国著名哲学家梅洛-庞蒂的一本重要哲学著作，具有很高的出版价值。,https://product.dangdang.com/29335151.html,9787100070300
可爱的契诃夫 契诃夫书信赏读 (俄)契诃夫 童道明 商务印书馆【达额立减】 【正品保证，进入店铺更多优惠！】,https://product.dangdang.com/11731961139.html,9787100106276
可见的与不可见的(汉译名著本15),https://product.dangdang.com/29684948.html,9787100128469
四大名著套装上下共8册 西游记 红楼梦 三国演义 水浒传全本无删减中小学课外阅读经典名著（足本典藏 无障碍阅读 疑难字注,https://product.dangdang.com/12100008869.html,9787100139014
旧时淮水东边月（流金文丛） 江南才子用才情和学识撰写的人文小品，值得一读！,https://product.dangdang.com/25200333.html,9787100153683
【正版】梅洛-庞蒂文集 第4卷 意义与无意义.9787100157728,https://product.dangdang.com/11874339162.html,9787100157728
我可以触摸的事物:史蒂文斯诗文录 (美)华莱士·史蒂文斯；马永波译 商务印书馆【达额立减】 【正品保证，进入店铺更多优惠！】,https://product.dangdang.com/11731976409.html,9787100160483
不止美食：餐桌上的文化史 一本书带你从全球文化传播过程中领略美食在古今、中外、不同地域的意义,https://product.dangdang.com/28968445.html,9787100180450
指花扯蕊：诗词品鉴录 “中国好书”获得者江弱水新作，《诗的八堂课》姊妹篇,https://product.dangdang.com/28556210.html,9787100182546
灵光集 (法)阿蒂尔兰波/何家炜 商务印书馆 9787100183581 【正版图书，保证质量，电子发票，支持7天无理由退换】,https://product.dangdang.com/11928552875.html,9787100183581
275个戏剧游戏：关联(上下册)(戏剧教育丛书) 从戏剧教室到演艺圈 一部培养演技的综合练习集,https://product.dangdang.com/29287831.html,9787100185691
政治与爱的秩序：一种奥古斯丁主义的民主公民伦理 当代奥古斯丁政治神学研究中非常重要的一部著作,https://product.dangdang.com/29376896.html,9787100200554
破产书商札记 一位破产书商的短暂人生，一部现代文青的沉思集录。,https://product.dangdang.com/29444642.html,9787100208093
避孕简史 “每个女性都应该知道的事！”避孕，不止女性，不止技术，它事关所有人的未来。,https://product.dangdang.com/29571789.html,9787100220767
思问录 俟解 黄书 噩梦（王夫之著作） 中华书局出版。,https://product.dangdang.com/29722637.html,9787101066289
长物志+园冶 全2册 计成 文震亨 著 文化书籍 设计园林宅居 品鉴收藏雅玩百科 营造经典集成(共2册) 长物志(中华生,https://product.dangdang.com/11446068803.html,9787101086829
北京话 中华书局出版。,https://product.dangdang.com/25328827.html,9787101121575
酉阳杂俎（全2册·中华经典名著全本全注全译丛书-三全本） 书名不好认不妨碍它成为一部宝库级奇书，你可以看到各式各样奇怪的故事，甚至发现“灰姑娘”的故事竟然出自这本书！中华书局出版。,https://product.dangdang.com/25091942.html,9787101124552
京都如晤（精）新版 七载光阴，四十四通随笔书简，随京都四时节序，追踪山川风物之美。千年古都，见字如面！苏枕书客居京都九年来通信体随笔集。,https://product.dangdang.com/27886376.html,9787101126747
有货正版 物色：金瓶梅读“物”记 扬之水著 中华书局 9787101130560,https://product.dangdang.com/11533087114.html,9787101130560
宋代志怪传奇叙录 李剑国 中华书局【售后无忧】 【正品保证，进入店铺更多优惠！】,https://product.dangdang.com/11731928469.html,9787101133516
"岁华一枝：京都读书散记（精） 苏枕书客居京都十年之际推出新作,记录日本风物古迹，讲述汉籍东传故实。中华书局出版。",https://product.dangdang.com/27916990.html,9787101139747
新书 植物名释札记 夏纬瑛 著 夏经林 增编 中华书局出版社 9787101158113,https://product.dangdang.com/11820659040.html,9787101158113
武梁祠：中国古代画像艺术的思想性（精装） 巫鸿教授研究中国美术史的扛鼎之作，曾获美国汉学著作的荣誉——由全美亚洲研究学会（AAS）颁发的列文森奖（Levenson Prize）,https://product.dangdang.com/29525572.html,9787108050281
正版 履历：诗选1972-1988北岛9787108052599生活.读书.新知三联书店 书籍,https://product.dangdang.com/11871980612.html,9787108052599
