DATE,QUANTITY,CODECONTENT
2025-04-12 06:24:09 -0400,1,9787205100636
2025-04-12 06:24:03 -0400,1,9787205100704
2025-03-05 00:49:09 -0500,1,9787205103064
2025-04-12 06:26:49 -0400,1,9787208077928
2025-04-12 06:26:12 -0400,2,9787208096851
2025-04-12 05:58:09 -0400,1,9787208098107
2025-03-03 00:09:57 -0500,1,9787208102019
2025-03-03 00:14:06 -0500,1,9787208108448
2025-04-12 05:31:12 -0400,2,9787208113954
2025-03-05 20:09:12 -0500,1,9787208138858
2025-04-12 06:46:38 -0400,1,9787208144163
2025-04-11 23:30:40 -0400,2,9787208155466
2025-03-02 23:50:44 -0500,2,9787208161757
2025-03-05 01:01:18 -0500,1,9787208161795
2025-03-05 01:49:07 -0500,1,9787208164703
2025-03-05 01:04:36 -0500,1,9787208165007
2025-04-12 06:51:46 -0400,2,9787208169517
2025-03-03 00:27:58 -0500,2,9787208169944
2025-04-11 23:28:15 -0400,1,9787208170841
2025-03-05 20:03:11 -0500,1,9787208172470
2025-03-03 00:02:59 -0500,2,9787208174252
2025-03-05 00:41:17 -0500,1,9787208175716
2025-03-03 00:03:54 -0500,4,9787208175839
2025-04-12 06:04:11 -0400,1,9787208176393
2025-03-05 20:26:59 -0500,2,9787208176584
2025-03-05 18:43:23 -0500,2,9787208177895
2025-03-03 00:22:43 -0500,1,9787208178311
2025-04-12 06:53:22 -0400,2,9787208178977
2025-03-05 00:51:34 -0500,2,9787208180161
2025-03-05 20:49:07 -0500,1,9787208181564
2025-03-05 01:44:25 -0500,2,9787208182851
2025-03-05 21:00:07 -0500,2,9787214268761
2025-03-05 21:00:19 -0500,1,9787214268808
2025-04-12 05:55:21 -0400,1,9787216092852
2025-04-12 05:30:25 -0400,1,9787218000503
2025-03-05 00:33:51 -0500,1,9787219092101
2025-03-05 20:27:32 -0500,2,9787219111192
2025-03-05 00:30:50 -0500,2,9787219115930
2025-04-12 05:30:16 -0400,2,9787220091759
2025-03-05 00:48:51 -0500,1,9787220104145
2025-03-05 00:42:01 -0500,1,9787220104305
2025-03-05 01:48:09 -0500,1,9787220113468
2025-03-05 01:49:11 -0500,2,9787220113949
2025-03-05 01:48:13 -0500,1,9787220114632
2025-04-12 06:38:22 -0400,1,9787220115875
2025-03-05 01:34:11 -0500,1,9787220119057
2025-03-05 00:31:30 -0500,2,9787220125584
2025-03-05 00:58:43 -0500,1,9787220126338
2025-03-05 01:43:18 -0500,1,9787220126970
2025-03-05 00:27:55 -0500,1,9787220127267
2025-03-05 01:48:57 -0500,1,9787221150646
2025-03-05 00:59:12 -0500,2,9787222230071
2025-03-03 00:04:20 -0500,1,9787224122169
2025-03-03 00:29:24 -0500,2,9787229051365
2025-04-12 06:54:19 -0400,3,9787229166588
2025-03-05 01:42:28 -0500,1,9787229170103
2025-04-12 05:57:21 -0400,1,9787301007617
2025-03-05 20:00:06 -0500,2,9787301249109
2025-04-11 23:35:29 -0400,2,9787301332726
2025-03-05 20:05:27 -0500,1,9787305103568
2025-03-05 20:23:50 -0500,1,9787305138287
2025-04-12 06:52:12 -0400,2,9787305146435
2025-03-03 00:22:47 -0500,3,9787305177361
2025-04-11 23:31:19 -0400,1,9787305177385
2025-03-05 20:01:18 -0500,3,9787305209635
2025-03-05 19:18:08 -0500,1,9787305214035
2025-03-15 18:07:26 -0400,1,9787305218415
2025-04-12 06:36:17 -0400,1,9787305220944
2025-03-05 20:08:50 -0500,2,9787305234859
2025-03-05 20:54:40 -0500,1,9787305237300
2025-03-03 00:14:13 -0500,2,9787305247026
2025-03-05 19:50:11 -0500,1,9787305250279
2025-04-12 05:18:22 -0400,2,9787307175266
2025-04-12 05:11:59 -0400,2,9787307224896
