"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7BRCIT9M","book","2016","翁贝托·埃科; CNPeReading","试刊号","","978-7-5327-7285-8","","","","《创刊号》是意大利作家翁贝托·埃科最新小说，横扫2015年意大利各大畅销书榜单。讲述在媒体时代新闻的真实与虚假。一九九二年的米兰，几名记者加入一份正在筹备的日报，《明天报》，雄心勃勃地要在新的职位上大显身手。在电视和广播兴盛的时代，报纸的滞后性不言而喻，因此，《明天报》立志讲述""明天即将发生的事件""，通过深入调查，在新闻领域拥有某种""预见性""。他们精心研究过去的新闻，试图编出一套试刊号。而在调查过程中，种种现实却不容置疑地跃入眼前。""人们都以为墨索里尼已经死了，而自一九四五年以来，意大利发生的每一件大事背","2016","2025-04-21 02:13:14","2025-04-21 02:13:14","","","1","","","","","","","","","","上海译文出版社","Shanghai","chi","","","","","K10plus ISBN","","","","","","","","","","","CNPeReading","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECZ5CPP4","book","2018","谷崎润一郎; CNPeReading","秘密","","978-7-5327-7631-3","","","","本书选篇来自谷崎润一郎三部推理小说集，共七篇。《日本的虐待狂事件》写的是一件受虐狂杀人事件。但是所谓的杀人事件，并非是被警方定论的，而是叙述者根据新闻报导和相关记录进行的个人推测。《受诅咒的剧本》主人公""我""关于戏曲家佐佐木的前妻玉子事故死亡的推测。我根据佐佐木现任妻子的证言，佐佐木生前的日记以及生前唯一的杰作《善与恶》的内容，推测佐佐木是在和剧中同样的情况下杀死的前妻。《白昼鬼语》的主人公叫园村，是一个厌倦了无聊的日常生活的人，宁愿冒着被杀害的危险也要去接近怪异、迷雾重重的世界。不仅如此，园村还在""我""的眼前导演、制造出一场命案的现场，自己则在其中表演受害人的角色。当所有的谜团被揭穿之后，园村又回到无聊的日常中，继续受着煎熬。《我》小说的叙述者""我""，是一名东京大学的学生。近来宿舍里接连发生盗窃事件，受到校方怀疑的""我""，在和同学的交往中遇到各种尴尬、困扰，""我""感到自己的心境也因为这样的怀疑发生了很大变化。在行窃行为被当场抓住后，""我""吐露了作为犯罪者的内心世界。《途中》私家侦探通过和汤河巧妙的对谈，找出了汤河前妻的死因。本篇被江户川盛赞为，第一篇概率杀人犯罪事件。《一个犯罪的动机》描写了杀害善良博士的犯人的犯罪心理。《前科者》是描述有前科、道德败坏的艺术家的犯罪心理的故事。","2018","2025-04-21 02:13:18","2025-04-21 02:13:18","","","1","","","","","","","","","","上海译文出版社","ShangHai","chi","","","","","K10plus ISBN","","","","","","","","","","","CNPeReading","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YDUKBC3T","book","2018","库尔齐奥·马拉巴特; CNPeReading","皮","","978-7-5327-7910-9","","","","库尔齐奥·马拉巴特是意大利著名剧作家、记者、外交官，因其代表作《完蛋》（1944）、《皮》（1949）等获得国际声誉。他的一生极富传奇性：他出生于1898年，亲身经历过两次世界大战，因发表不同政见而遭受两次牢狱之灾。他是有德国血统的意大利人。二战之前是米兰《新闻报》的主编，因与墨索里尼的女婿齐亚诺伯爵交好，得以出入意大利上流社会交际圈，并且与非常多的欧洲权贵有所交往。与意大利法西斯政府相左的政治立场再配以特殊的身份，使他得以写出这部以黑色的诗意来唤醒人类良知的作品。《皮》出版于1949年，1981年被改编为同名电影。小说以二战时期盟军在意大利西西里登陆，解放意大利为背景，记述了主人公作为盟军联络官在那不勒斯的所见所闻，刻画了一幅幅战争背景下的意大利平民、美军军官、欧洲上流社会贵族的生动画卷，凸显了人性的多面，展现了战后欧洲的精神状态。","2018","2025-04-21 02:13:22","2025-04-21 02:13:22","","","1","","","","","","","","","","上海译文出版社","Shanghai","chi","","","","","K10plus ISBN","","","","","","","","","","","CNPeReading","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WTR39EBG","book","2021","Ishiguro, Kazuo","Kèlā lā yǔ tàiyáng","","978-7-5327-8683-1","","","","","2021","2025-04-21 02:13:30","2025-04-21 02:13:30","","","392","","","","","","","","","","Shanghai yi wen chu ban she","Shanghai","chi","","","","","K10plus ISBN","","","","","","","","","","Song, Yan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DARQ52IK","book","1995","","Li chuan fang yan ci dian","","978-7-5343-2626-4","","","","","1995","2025-04-21 02:13:56","2025-04-21 02:13:56","","","2","","","","","","Xian dai han yu fang yan da ci dian / Li Rong zhu bian","17","","","Jiang su jiao yu chu ban she","Nan jing","chi","","","","","K10plus ISBN","","","","","","","","Yan, Sen","","","","","","","","","","","","","","","","","","","Di 1 ban, di 1 ci yin shua","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NFHVMXWD","book","2021","Liu, Zhen yun","Yi ri san qiu","","978-7-5360-9442-0","","","","","2021","2025-04-21 02:14:11","2025-04-21 02:14:11","","","","","","","","","","","","","Hua cheng chu ban she","Guangzhou","chi","","","","","BnF ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K86DQGBN","book","2023","岳永逸; CNPeReading","乡土日常：灵验·磕头·传说","","978-7-5407-8931-2","","","","一种风俗、习惯、信仰、传说，即使在他者看来毫无意义，其中也蕴含了极其深奥的东西。当下华北腹地乡村的大小庙会，犹如一架古式钢琴，远近各色人等纷至沓来，用不同调式怡然自得地演奏着。神马、香炉、袅袅香烟、飞升的黄表纸、跪拜的身影、大小镜头、旌旗牌匾，是显圣物，也是行好的宇宙象征和心灵轨辙。这一切，既艺术化地点染着素朴的乡土日常，也在相当意义上成就着当代中国民俗学以及非遗事业。","2023","2025-04-21 02:14:46","2025-04-21 02:14:46","","","1","","","","","","","","","","漓江出版社","Guilin","chi","","","","","K10plus ISBN","","","","","","","","","","","CNPeReading","","","","","","","","","","","","","","","","1st ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SC35GRRH","book","2021","Zhang, Zao","Zhang Zao shi wen ji","","978-7-5411-5920-6","","","","本书是诗人张枣的诗文合集,包含张枣的诗,随笔(及讲稿),论著,书信(及访谈),译诗5部分.张枣诗艺精湛,已获得较稳定的文学史认可,但是遗留下来的文字极其有限.本书在已出版的""张枣的诗""""张枣随笔集""""张枣译诗""的基础上,加入近年来新发现的其他张枣文字,合集出版,以弥补市面上张枣图书散乱,多有缺失,校勘不精等问题,为读者提供一部权威,齐全,可靠的张枣诗文集.本书的价值在于:一,首次完整,系统呈现张枣全部文字;二,首次收录此前从未披露过的作品,所占篇幅可观;三,反复校勘,文字可靠性应是目前最高的","2021","2025-04-21 02:16:30","2025-04-21 02:16:30","","","","","","","","","","","","","Si chuan wen yi chu ban she","Cheng du","chi","","","","","BnF ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VKPUZY6J","book","2020","Chen, Chun cheng","Ye wan de qian shui ting","","978-7-5426-6996-4","","","","Fang fo niao qi shu,Yu qian yuan,Yi qie wen tuo you an ning,Ye wan zhei cai zhen zheng di jiang lin.< ye wan de qian shui ting> shi zuo jia chen chun cheng de shou bu duan pian xiao shuo ji.Jiu ge gu shi,Bi feng you zou yu jiu shan he yu wei zhi yu zhou jian,Yi gui qi piao yang de xiang xiang,Wen hou qing you de bi fa,Zai xian shi yu huan jing jian pi kai ruo gan tiao mi mi de tong dao:hai di man you de shao nian,Shen shan yi luo de gu bei,Mi san ru wan wu de zi ju,Yun cai xiu jian zhan,Zhu jian yu niang jiu,Tie mu xia de sa ke si,Lan jing nei de yan zou ting qian ru gu shi shen chu,Gan zhi ti nei de xing yun xuan dong,Cao mu man fa;Yi ci yu de wei guang,Tan zhao ji yi de hai gou.Guan yu zang ni yu xun zhao,Zhui bu yu tao dun,Zhong zhong wu chang zhong de yi dian que zao,Lie ri yu shen yuan jian de yi xiao pian qing liang.Chen chun cheng de xiao shuo shi jie,Shi ke gong zang shen de dong ku,Xuan fu yu zhi shang de gong dian,Hang xiang wang xi de qian ting,Cheng xian han yu xiao shuo de yi zhong feng du yu xin de ke neng xing ; 仿佛鸟栖树,鱼潜渊,一切稳妥又安宁,夜晚这才真正地降临.<夜晚的潜水艇>是作家陈春成的首部短篇小说集.九个故事,笔锋游走于旧山河与未知宇宙间,以瑰奇飘扬的想象,温厚清幽的笔法,在现实与幻境间辟开若干条秘密的通道:海底漫游的少年,深山遗落的古碑,弥散入万物的字句,云彩修剪站,铸剑与酿酒,铁幕下的萨克斯,蓝鲸内的演奏厅......潜入故事深处,感知体内的星云旋动,草木蔓发;以词语的微光,探照记忆的海沟.关于藏匿与寻找,追捕与逃遁,种种无常中的一点确凿,烈日与深渊间的一小片清凉.陈春成的小说世界,是可供藏身的洞窟,悬浮于纸上的宫殿,航向往昔的潜艇,呈现汉语小说的一种风度与新的可能性","2020","2025-04-21 02:16:38","2025-04-21 02:16:38","","","","","","","","","","","","","Sheng huo·Du shu·Xin zhi san lian shu dian shang hai fen dian","Shang hai","chi","","","","","BnF ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U5QXDQDV","book","2020","Lin, Zhao","Liu xi","","978-7-5426-6998-8","","","","","2020","2025-04-21 02:16:39","2025-04-21 02:16:39","","","","","","","","","","","","","Shang hai san lian shu dian","Shang hai","chi","","","","","BnF ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H49XSJCE","book","2022","Kin, Bunkyō","Han wen yu Dong ya shi jie","","978-7-5426-7732-7","","","","","2022","2025-04-21 02:16:44","2025-04-21 02:16:44","","","211","","","","","","Yan bo xin shu jing xuan","12","","","Shang hai san lian shu dian","Shang hai","chi","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KXATEB54","book","2012","tang yu wen","dong bei fang yan da ci dian","","978-7-5445-2130-7","","","","","2012","2025-04-21 02:16:55","2025-04-21 02:16:55","","","11","","","","","","","","","","","chang chun","chi","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4S4PZ69M","book","2022","Xi, Xi","Bai fa Ae ji qi ta","","978-7-5447-8893-9","","","","西西短篇小说集，收入1980-2000的短篇，温柔呈现城市老人的生活方式。白发阿娥，生于宣统年间，生活在一个业已消逝的时代。白发阿娥曾经也是一位玫瑰少女，而如今，她出门要抹风油精，到百货公司怕冷气，到马路上怕晒太阳，到朋友家怕见人，后来竟沦落到要吃麦糊。但白发阿娥仍然寓生活于乐，研究赛马，收集过去的钱币，给亲友写信，写回忆录。对白发阿娥来说，衰老与成长一样惊心动魄。如今她迈着笨拙的步子，向未知的未来走去，像来时一般","2022","2025-04-21 02:17:05","2025-04-21 02:17:05","","","","","","","","","","","","","Yi lin chu ban she","Nan jing","chi","","","","","BnF ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y28QLUFU","book","2021","Yuan, Ling","Zai bie chu","","978-7-5455-5958-3","","","","","2021","2025-04-21 02:17:17","2025-04-21 02:17:17","","","","","","","","","","","","","Tian di chu ban she","Cheng du shi","chi","","","","","BnF ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RNMBAWLH","book","2020","Zheng, Zhi","Xian zheng","","978-7-5477-3820-7","","","","Huan xiang zi ji ceng zai qian ting fu yi de jing shen bing ren,Shen yang ji chang li ji mo de qu niao yuan,Qiong gui le yuan,Xu jiu,Hei ye,Lv xing zhe de lang ji,Nan hai yu fu qin de zhang jiu de gao bie shi ji zhi jiao de bei fang cheng shi li,Ren wu shi zhong chu yu shi luo zhi zhong.Ben shu shi zheng zhi ping jie duan pian< xian zheng> huo 2018 nian""li·Ni ming zuo jia ji hua""shou jiang he 2019 nian shou jie""< zhong shan> zhi xing""nian du qing nian jia zuo jiang hou de quan xin zuo pin,Shou lu you bei su tong cheng zan""gong xian le yi ge xin de ren wu xing xiang""de< xian zheng>,Fa biao yu< shou huo>2019 nian""qing nian zuo jia xiao shuo zhuan ji""de< meng di ka luo shi ren ji> yi ji zhong pian xin zuo< sen zhong you lin> deng xiao shuo liu pian ; 幻想自己曾在潜艇服役的精神病人,沈阳机场里寂寞的驱鸟员,穷鬼乐园,酗酒,黑夜,旅行者的浪迹,男孩与父亲的长久的告别......世纪之交的北方城市里,人物始终处于失落之中.本书是郑执凭借短篇<仙症>获2018年""鲤·匿名作家计划""首奖和2019年首届""<钟山>之星""年度青年佳作奖后的全新作品,收录有被苏童称赞""贡献了一个新的人物形象""的<仙症>,发表于<收获>2019年""青年作家小说专辑""的<蒙地卡罗食人记>以及中篇新作<森中有林>等小说六篇","2020","2025-04-21 02:17:24","2025-04-21 02:17:24","","","","","","","","","","","","","Bei jing ri bao chu ban she","Bei jing","chi","","","","","BnF ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3UUMAF2B","book","2022","Lu, Xiqi","Xi: yi ge Qin li he ta de shi jie","","978-7-5477-4308-9","","","","","2022","2025-04-21 02:17:27","2025-04-21 02:17:27","","","348","","","","","Xi","Li xiang guo = Imaginist","","","","Beijing ri bao chu ban she","Beijing Shi","","","","","","Library of Congress ISBN","DS747.5 .L9 2022","OCLC: 1338136983","","","","","221-207 av. J.-C. (Dynastie des Qin); China; Chine; Histoire; History; Qin dynasty, 221-207 B.C","","","","","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SU8FMFVZ","book","2022","Luo, Xin","Man chang yu sheng: yi ge bei wei gong nü he ta de shi dai","","978-7-5477-4312-6","","","","","2022","2025-04-21 02:17:28","2025-04-21 02:17:28","","","322","","","","","Man chang yu sheng","","","","","","Bei jing","chi","","","","","K10plus ISBN","","","","C:\Users\aliso\Zotero\storage\PZ3S22KV\Luo - 2022 - Man chang yu sheng yi ge bei wei gong nü he ta de shi dai.pdf","","","","","","","","","","","","","","","","","","","","","","","第1版","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VWECETNJ","book","2023","大头马 著.; 大头马, author","国王的游戏","","978-7-5477-4620-2","","","","","2023","2025-04-21 02:17:31","2025-04-21 02:17:31","","","","","","","","","","","","","北京日报出版社","Beijing","chi","","","","","Open WorldCat","","OCLC: 1414527887","","","","","","","","","","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63FBQQ93","book","2018","(宋)林洪撰;宋思维绘.; 林洪.; 宋思维","山家清供","","978-7-5480-6144-1","","","","本书收录了百余种宋代的食物,其中大部分皆为林洪亲身品尝感受过,并记载了与其相关的琐事.同时介绍了这些食物的名称,源流,做法等内容,其中涉及诗文,典故","2018","2025-04-21 02:17:33","2025-04-21 02:17:33","","","","","","","","","","","","","江西美术出版社","Nanchang","chi","","","","","Open WorldCat","","OCLC: 1112257673","","","","","","","","","宋思维","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9FZE475Y","book","2018","(明)张谦德著;刘靖宇绘; 张谦德 (1577-1643); 刘靖宇","瓶花谱","","978-7-5480-6165-6","","","","本书系统展示了中国传统插花之道.它以精辟的文字,从品瓶,品花,折枝,插贮,滋养,事宜,花忌与护瓶八方面介绍了中国传统花道","2018","2025-04-21 02:17:34","2025-04-21 02:17:34","","","","","","","","","","","","","江西美术出版社","Nanchang","chi","","","","","Open WorldCat","","OCLC: 1222975710","","","","","","","","","刘靖宇","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AM3QNFE5","book","2019","冯娜著 ; 南榖小莲绘.; 冯娜.; 南榖小莲.","唯有梅花似故人 宋词植物记","","978-7-5480-7333-8","","","","","2019","2025-04-21 02:17:35","2025-04-21 02:17:35","","","","","","","","","","","","","江西美术出版社","Nan chang","chi","","","","","Open WorldCat","","OCLC: 1452620131","","","","","","","","","","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8VU678AC","book","2019","(日)太宰治著 ; 钟甘英译.; (日) 太宰治, 1909-1948; 钟甘英.","斜阳","","978-7-5484-4616-3","","","","本书以第一人称叙述的方式,利用弟弟直治的日记与遗书,讲述了自己离婚后与母亲居住时期的生活,以及她与已婚的不良作家上原恋爱等一系列故事。本书内容跌宕起伏,纵横交错间浑然天成","2019","2025-04-21 02:17:37","2025-04-21 02:17:37","","","","","","","","","","","","","哈尔滨出版社","Ha mi bin","chi","","","","","Open WorldCat","","OCLC: 1265977533","","","","","","","","","","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X67QHGWI","book","2019","Chen, Nianfu","Shi yong jia gu wen zi dian","","978-7-5579-0447-0","","","","","2019","2025-04-21 02:18:10","2025-04-21 02:18:10","","","2","","","","","","","","","","Si chuan ci shu chu ban she","Cheng du Shi","chi","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7B38YSHV","book","2020","Li, Dan","Xiao chang","","978-7-5596-4024-6","","","","Ben shu shi tu cao da hui zong ce hua,Zong zhuan gao ren li dan zui shou huan ying zui chang xiao zuo pin,Shou lu le wang luo shang lian zai duo nian kuai zhi ren kou de che jing xi lie,Duan pian xiao shuo qi qu gu shi,Yi ji li dan duo nian lai zui jing dian de sui bi san wen he shi ge.Guang guai lu li de gu shi,Tian ma xing kong de dui hua,Fang fo ping xing shi kong zhong zhen shi de cun zai,Jiang shu zhe yin ren fan fu wan wei de dao li he zhen qing,You fang fo miao hui chu le yi fu huang dan que nai ren xun wei de ren jian fu shi hui","2020","2025-04-21 02:18:27","2025-04-21 02:18:27","","","","","","","","","","","","","Bei jing lian he chu ban gong si","Bei jing","chi","","","","","BnF ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
